NUMBERS:, WORDS:, LENGTH:
8.7687634569E10, hello, 5
3.33333E10, manila, 6
2.8789898888E10, Philippines, 11
5.645454565E8, Banco de Oro, 12
3.756498557E7, Dao Heng Bank, 13
3.746596898E7, ABN Amro Bank, 13
5768439.0, Bank of America, 15
2374859.98, Hongkong Shanghai Bank, 22
387847.788, United States of America, 24
5789.987, Rizal Cement Corporation, 24
4444.678, University of Santo Tomas, 25
500.0, United Coconut Planters Bank, 28
-376258.678, Land Bank of the Philippines, 28
-7893333.0, Bank of the Philippine Islands, 30
-8377457.988, Rizal Commercial Banking Corporation, 36
